Name;Kurzbeschreibung;Primäres Datenbankmodell;Punkte;Rang; Suchmaschinen;Website;Technische Dokumentation;Entwickler;Erscheinungsjahr;Aktuelle Version;Lizenz;Ausschließlich ein Cloud-Service;DBaaS Angebote;Implementierungssprache;Server Betriebssysteme;Datenschema;Typisierung;XML Unterstützung;Sekundärindizes;SQL Support of SQL;APIs und andere Zugriffskonzepte;Unterstützte Programmiersprachen;Server-seitige Scripts Stored Procedures;Triggers;Partitionierungsmechanismen Methoden zum Speichern von unterschiedlichen Daten auf unterschiedlichen Knoten;Replikationsmechanismen Methoden zum redundanten Speichern von Daten auf mehreren Knoten;MapReduce Bietet ein API für Map/Reduce Operationen;Konsistenzkonzept Methoden zur Sicherstellung der Konsistenz in einem verteilten System;Fremdschlüssel referenzielle Integrität;Transaktionskonzept Unterstützung zur Sicherstellung der Datenintegrität bei nicht-atomaren Datenmanipulationen;Concurrency;Durability Dauerhafte Speicherung der Daten;In-Memory Unterstützung; Graph DBMS;Berechtigungskonzept;; Document Stores; Key-Value Stores; Relational DBMS; Time Series DBMS; Multivalue DBMS;Sekundäre Datenbankmodelle; Object oriented DBMS; RDF Stores; Wide Column Stores; Navigational DBMS; Event Stores; Native XML DBMS; Content Stores
Postgres-XL;Basiert auf PostgreSQL und ist um Clusterfähigkeiten (scale out) erweitert.;Relational DBMS;0,42;#217;null;www.postgres-xl.org;www.postgres-xl.org/documentation;null;2014 seit 2012, ursprünglich genannt StormDB;10 R1, Oktober 2018;Open Source Mozilla public license;nein;;C;Linux macOS;ja;ja;ja XML type, but no XML query functionality;ja;ja distributed, parallel query execution;ADO.NET JDBC native C library ODBC streaming API for large objects;.Net C C++ Delphi Erlang Java JavaScript (Node.js) Perl PHP Python Tcl;benutzerdefinierte Funktionen;ja;horizontale Partitionierung;null;nein;Immediate Consistency;ja;ACID MVCC;ja;ja;nein;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #103 ;null;null;Document Store;null;null;null;null;null;null;null
Event Store;null;Event Store;0,68;#185;null;eventstore.org;eventstore.org/docs;null;2012;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #1 ;null;null
ScyllaDB;Wide column store, kompatibel zu Cassandra;Wide Column Store;2,18;#110;null;www.scylladb.com;docs.scylladb.com;ScyllaDB;2015;Scylla Open Source 3.1.0, Oktober 2019;Open Source Open Source (AGPL), commercial license available;nein;;C++;Linux;schemafrei;ja;nein;ja cluster global secondary indices;SQL-like DML and DDL statements (CQL);Propriätäres Protokoll CQL (Cassandra Query Language, an SQL-like language) Thrift;C# C++ Clojure Erlang Go Haskell Java JavaScript Perl PHP Python Ruby Scala;nein;nein;Sharding;frei wählbarer Replikationsfaktor Representation of geographical distribution of servers is possible;nein;Eventual Consistency Immediate Consistency can be individually decided for each write operation;nein;nein Atomicity and isolation are supported for single operations;ja;ja;ja in-memory tables;null;Access rights for users can be defined per object;null;null;null;null;null;null;null;null;null; #7 ;null;null;null;null
Sphinx;Open Source Suchmaschine zum Suchen in Daten aus verschiedenen Quellen, u.a. relationalen Datenbanken;Suchmaschine;7,04;#49; #5 ;sphinxsearch.com;sphinxsearch.com/docs;Sphinx Technologies Inc.;2001;3.1.1, Oktober 2018;Open Source GPL Version 2, kommerzielle Lizenz erhältlich;nein;;C++;FreeBSD Linux NetBSD OS X Solaris Windows;ja;nein;null;ja Full-Text Index auf allen Suchfeldern;SQL-like query language (SphinxQL);Proprietäres Protokoll;C++ inoffizielle Client Library Java Perl inoffizielle Client Library PHP Python Ruby inoffizielle Client Library;nein;nein;Sharding Aufteilung der Daten erfolgt manuell, Suchabfragen auf verteilten Index werden unterstützt.;keine;nein;null;nein;nein;ja;ja Der Originalinhalt von Feldern wird nicht im Sphinx-Index gespeichert.;null;null;nein;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Warp 10;TimeSeries DBMS specialized on timestamped geo data based on LevelDB or HBase;Time Series DBMS;0,10;#286;null;www.warp10.io;www.warp10.io/content/02_Getting_started;SenX;2015;null;Open Source Apache License 2.0;nein;;Java;Linux OS X Windows;schemafrei;ja;nein;nein;nein;HTTP API Jupyter WebSocket;null;ja WarpScript;nein;Sharding basierend auf HBase;frei wählbarer Replikationsfaktor basierend auf HBase;nein;Immediate Consistency basierend auf HBase;nein;nein;ja;ja;ja;null;Mandatory use of cryptographic tokens, containing fine-grained authorizations;null;null;null;null; #21 ;null;null;null;null;null;null;null;null;null
FleetDB;null;Document Store;null;null;null;github.com/mmcgrana/fleetdb;null;null;2009;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;FleetDB was discontinued in 2014;null;null;null;null;null;null;null;null;null;null;null;null;null
Google Search Appliance;The Google Search Appliance consists of hardware and software for indexing documents in local networks.;Suchmaschine;2,77;#94; #10 ;enterprise.google.com/search/products/gsa.html;support.google.com/gsa;Google;2002;null;kommerziell;nein;;null;null;null;null;nein;null;nein;Administrative API Browser interface HTTP API;null;null;null;Sharding;Master-Slave Replikation;nein;null;nein;null;ja;ja;nein;null;User authentication via various security protocols;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Blazegraph;High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.;Graph DBMS RDF Store;0,59;#193;null;www.blazegraph.com;wiki.blazegraph.com;Blazegraph;2006;2.1.4, August 2016;Open Source erweiterte kommerzielle Lizenz verfügbar;nein;;Java;Linux OS X Windows;schemafrei;ja RDF literal types;null;ja;SPARQL is used as query language;Java API RESTful HTTP API SPARQL QUERY SPARQL UPDATE TinkerPop 3;.Net C C++ Java JavaScript PHP Python Ruby;ja;nein;Sharding;ja;nein;Immediate Consistency or Eventual Consistency depending on configuration;ja Relationships in Graphs;ACID;ja;ja;null; #15 ;Security and Authentication via Web Application Container (Tomcat, Jetty);Amazon has acquired Blazegraph's domain and (probably) product. It is said that Amazon Neptune is based on Blazegraph.;null;null;null;null;null;null;null; #8 ;null;null;null;null;null
Cloudant;Auf Apache CouchDB basierendes Database as a Service Angebot;Document Store;3,80;#75;null;cloudant.com;docs.cloudant.com;IBM, Apache Software Foundation IBM hat im Februar 2014 Cloudant gekauft;2010;null;kommerziell;ja;;Erlang;gehostet;schemafrei;nein;nein;ja;nein;RESTful HTTP/JSON API;C# Java JavaScript Objective-C PHP Ruby;View Functions (Map-Reduce) in JavaScript;ja;Sharding;Master-Master Replikation Master-Slave Replikation;ja;Eventual Consistency;nein;nein Atomare Operationen innerhalb eines Dokumentes möglich;ja Optimistic locking;ja;nein;null;Zugriffsrechte für Benutzer pro Datenbank definierbar;null; #14 ;null;null;null;null;null;null;null;null;null;null;null;null
FinchDB;In-Memory Analytics Engine based on a JSON style data model;Document Store Suchmaschine;0,02;#341; #19 ;www.finchcomputing.com/finchdb;null;Finch Computing;2015;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #48 ;null;null;null;null;null;null;null;null;null;null;null;null
Druid;Open-source analytics DBMS für OLAP-Abfragen von Zeitserien;Relational DBMS Time Series DBMS;1,79;#117;null;druid.io;druid.io/docs/latest/design/index.html;Metamarkets Group and contributors;2012;null;Open Source Apache license v2;nein;;Java;Linux OS X Unix;ja schema-less columns are supported;ja;nein;ja;SQL Unterstüzung durch Apache Calcite Adapter;JSON over HTTP;Clojure JavaScript PHP Python R Ruby Scala;nein;nein;Sharding;ja, durch HDFS, S3 oder andere Storage Engines;nein;Immediate Consistency;nein;nein;ja;ja;nein;null;nein verfügbar über Extensions;null;null;null; #58 ; #7 ;null;null;null;null;null;null;null;null;null
MammothDB;A relational, business analytics database, built on Apache Hadoop;Relational DBMS;0,14;#273;null;www.mammothdb.com;wiki.mammothdb.com/start;part of MariaDB Corporation since March 2018;2013;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #127 ;null;null;null;null;null;null;null;null;null;null
IBM Db2 formerly named DB2 or IBM Database 2;Weit verbreitetes RDBMS im Großrechnerumfeld (z/OS), zwei unterschiedliche Versionen für Großrechner und Windows/Linux;Relational DBMS Seit Version 10.5 Unterstützung für JSON/BSON Dokumente mit Kompatibilität zu MongoDB;172,60;#6;null;www.ibm.com/analytics/us/en/db2;www.ibm.com/support/knowledgecenter/SSEPGG;IBM;1983 Version für Großrechner;12.1, Oktober 2016;kommerziell kostenlose Version verfügbar;nein;;C und C++;AIX HP-UX Linux Solaris Windows z/OS;ja;ja;null;ja;ja;ADO.NET JDBC JSON style queries Kompatibel zu MongoDB ODBC XQuery;C C# C++ Cobol Delphi Fortran Java Perl PHP Python Ruby Visual Basic;ja;ja;Sharding nur in Windows/Unix/Linux Version;ja mit Zusatztools (MQ, InfoSphere);nein;null;ja;ACID;ja;ja;null;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #5 ;null;null;Document Store RDF Store in DB2 LUW (Linux, Unix, Windows);null;null;null;null;null;null;null
Drizzle;MySQL fork mit erweiterbarem Micro-Kernel und mit Betonung von Leistung vor Kompatibilität.;Relational DBMS;null;null;null;null;null;Drizzle Projekt, ursprünglich gestartet von Brian Aker;2008;7.2.4, September 2012;Open Source GNU GPL;nein;;C++;FreeBSD Linux OS X;ja;ja;null;ja;ja mit propriätären Erweiterungen;JDBC;C C++ Java PHP;nein;nein Hooks für Callbacks innerhalb der Servers können verwendet werden.;Sharding;Master-Master Replikation Master-Slave Replikation;nein;null;ja;ACID;ja;ja;null;null;Pluggable Authentication Mechanismen z.B. LDAP, HTTP;Drizzle has published its last release in September 2012. The open-source project is discontinued and Drizzle is excluded from the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
LevelDB;Embeddable fast key-value storage library that provides an ordered mapping from string keys to string values;Key-Value Store;2,95;#88;null;github.com/google/leveldb;github.com/google/leveldb/blob/master/doc/index.md;Google;2011;1.22, Mai 2019;Open Source BSD;nein;;C++;Illumos Linux OS X Windows;schemafrei;nein;nein;nein;nein;C++ API Go Java Third party binding Node.js Third party binding Python Third party binding;C++ Go;nein;nein;keine;keine;nein;Immediate Consistency;nein;nein;ja;ja with automatic compression on writes;null;null;nein;null;null; #15 ;null;null;null;null;null;null;null;null;null;null;null
TokuDB;null;Relational DBMS;null;null;null;www.percona.com/software/mysql-database/percona-tokudb;null;null;null;7.5.5, Jaenner 2015;Open Source erweiterte kommerzielle Lizenz verfügbar;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;TokuDB was acquired by Percona and can be used as a storage engine for Percona Server. Therefore TokuDB is not included in the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
JanusGraph successor of Titan;A Graph DBMS optimized for distributed clusters It was forked from the latest code base of Titan in January 2017;Graph DBMS;1,80;#116;null;janusgraph.org;docs.janusgraph.org/latest;Linux Foundation, originally developed as Titan by Aurelius;2017;0.4.0, Juli 2019;Open Source Apache 2.0;nein;;Java;Linux OS X Unix Windows;ja;ja;nein;ja;nein;Java API TinkerPop Blueprints TinkerPop Frames TinkerPop Gremlin TinkerPop Rexster;Clojure Java Python;ja;ja;ja depending on the used storage backend (e.g. Cassandra, HBase, BerkeleyDB);ja;ja via Faunus, a graph analytics engine;Eventual Consistency Immediate Consistency;ja Relationships in graphs;ACID;ja;ja Unterstützt verschiedene Storage Backends: Cassandra, HBase, Berkeley DB, Akiban, Hazelcast;null; #6 ;Benutzer Authentification und Sicherheit via Rexster Graph Server;null;null;null;null;null;null;null;null;null;null;null;null;null;null
InfoGrid;null;Graph DBMS;0,24;#251;null;infogrid.org;null;null;2008;null;Open Source AGPL Version 3;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #20 ;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Yanza;Time Series DBMS for IoT Applications;Time Series DBMS;0,00;#344;null;yanza.com;null;Yanza;2015;null;kommerziell free version available;nein but mainly used as a service provided by Yanza;;null;Windows;schemafrei;nein;nein;nein;nein;HTTP API;jede Sprache, die HTTP-Aufrufe erlaubt;nein;ja Timer and event based;keine;keine;nein;Immediate Consistency;nein;nein;ja;ja;null;null;nein;null;null;null;null; #30 ;null;null;null;null;null;null;null;null;null
DBSight;null;Suchmaschine;0,05;#322; #18 ;www.dbsight.com;null;null;2004;null;kommerziell;nein;;Java;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Datastax Enterprise;DataStax Enterprise (DSE) is the always-on, scalable data platform built on Apache Cassandra and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.;Wide Column Store;9,35;#43;null;www.datastax.com/products/datastax-enterprise;docs.datastax.com;DataStax;2011;6.7, Dezember 2018;kommerziell;nein;;Java;Linux OS X;schemafrei;ja;nein;ja;SQL-like DML and DDL statements (CQL), Spark SQL;Propriätäres Protokoll CQL (Cassandra Query Language) TinkerPop Gremlin with DSE Graph;C C# C++ Java JavaScript (Node.js) PHP Python Ruby;nein;ja;Sharding no "single point of failure";configurable replication factor, datacenter aware, advanced replication for edge computing;ja;Immediate Consistency Tunable Consistency consistency level can be individually decided with each write operation;nein;nein Atomicity and isolation are supported for single operations;ja;ja;ja;null;Zugriffsrechte für Benutzer auf einzelne Objekte definierbar;null;null;null;null;null;null;Document Store Graph DBMS;null;null; #4 ;null;null;null;null
Microsoft Azure SQL Database frÃ¼her SQL Azure;Relationaler Datenbankdienst aus der Cloud mit großer Kompatibilität zum Microsoft SQL Server;Relational DBMS;27,62;#25;null;azure.microsoft.com/en-us/services/sql-database;docs.microsoft.com/en-us/azure/sql-database;Microsoft;2010;V12;kommerziell;ja;;C++;gehostet;ja;ja;ja;ja;ja;ADO.NET JDBC ODBC;.Net C# Java JavaScript (Node.js) PHP Python Ruby;Transact SQL;ja;null;ja, immer mindestens 3 Replikas vorhanden;nein;Immediate Consistency;ja;ACID;ja;ja;null;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #14 ;null;null;Document Store Graph DBMS;null;null;null;null;null;null;null
solidDB;null;Relational DBMS;0,73;#177;null;teamblue.unicomsi.com/products/soliddb;null;Unicom Systems, Inc, IBM Unicom acquired solidDB from IBM in 2014;1992;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #88 ;null;null;null;null;null;null;null;null;null;null
Hive;Data Warehouse Software zum Abfragen und Verwalten großer verteilter Datenmengen beispielsweise in Hadoop;Relational DBMS;84,22;#14;null;hive.apache.org;cwiki.apache.org/confluence/display/Hive/Home;Apache Software Foundation Ursprünglich von Facebook entwickelt;2012;3.1.2, August 2019;Open Source Apache Version 2;nein;;Java;Alle Betriebssysteme mit einer Java VM;ja;ja;null;ja;SQL-like DML and DDL statements;JDBC ODBC Thrift;C++ Java PHP Python;ja Benutzerdefinierte Funktion und Map-Reduce Integration;nein;Sharding;frei wählbarer Replikationsfaktor;ja Abfragen werden als MapReduce Jobs behandelt;Eventual Consistency;nein;nein;ja;ja;null;null;Zugriffsrechte für Benutzer, Gruppen und Rollen;null;null;null; #9 ;null;null;null;null;null;null;null;null;null;null
ToroDB;A MongoDB-compatible JSON document store, built on top of PostgreSQL;Document Store;0,05;#325;null;www.torodb.com;www.torodb.com/stampede/docs;8Kdata;2016;null;Open Source AGPL-V3;nein;;Java;Alle Betriebssysteme mit einer Java 7 VM;schemafrei;ja string, integer, double, boolean, date, object_id;nein;null;null;null;null;null;nein;Sharding;Master-Slave Replikation;null;Eventual Consistency Immediate Consistency;nein;nein;ja;ja;null;null;Zugriffsrechte für Benutzer und Rollen;null; #44 ;null;null;null;null;null;null;null;null;null;null;null;null
Elliptics;Verteilter Key-Value Store;Key-Value Store;0,10;#287;null;reverbrain.com/elliptics;doc.reverbrain.com/elliptics:elliptics;null;2009;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #46 ;null;null;null;null;null;null;null;null;null;null;null
EsgynDB;Enterprise-class SQL-on-Hadoop solution, powered by Apache Trafodion;Relational DBMS;0,16;#264;null;esgyn.com;esgyn.com/developers;Esgyn;2015;null;kommerziell;nein;;C++, Java;Linux;ja;ja;nein;ja;ja;ADO.NET JDBC ODBC;All languages supporting JDBC/ODBC/ADO.Net;Java Stored Procedures;nein;Sharding;Master-master replication between multi datacenters;ja;Immediate Consistency;ja;ACID;ja;ja;nein;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #124 ;null;null;null;null;null;null;null;null;null;null
